"stream","question","answer","answer_numeric","answer_avg","comments","rating","difficulty","confidence","respondent","role","time"
"Create and Promote","Do you understand the enterprise-wide risk appetite for your applications ?","NO ANSWER",0,0.5,"Don't know","1","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Create and Promote","Do you have a strategic plan for application security and use it to make decisions?","NO ANSWER",0,0.5,"Don't know","1","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Create and Promote","Do you regularly review and update the Strategic Plan for Application Security?","NO ANSWER",0,0,"Don't know","1","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Measure and Improve","Do you use a set of metrics to measure the effectiveness and efficiency of the application security program across applications?","Yes, for all three metrics categories",1,NA,"We have several metrics that are followed up on a  monthly basis in SA BSS covering people and org,  product and customer","1","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Measure and Improve","Did you define Key Perfomance Indicators (KPI) from available application security metrics?","Yes, for most or all of the metrics",1,NA,NA,"1","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Measure and Improve","Do you update the Application Security strategy and roadmap based on application security metrics and KPIs?","No",0,NA,NA,"1","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Policy & Standards","Do you have and apply a common set of policies and standards throughout your organization?","Yes, for most or all of the applications",1,0.5,"We incorporate standards into TEA, our own guidelines and checklists","0.875","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Policy & Standards","Do you publish the organization's policies as test scripts or run-books for easy interpretation by development teams?","Yes, some content",0.25,0.125,"We run a large number of tests. Don't know to what extent  they cover architecture and guidelines","0.875","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Policy & Standards","Do you regularly report on policy and standard compliance, and use that information to guide compliance improvement efforts?","Yes, we report at regular times",0.5,0.25,"We report for each release and also for the monthly follow up","0.875","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Compliance Management","Do you have a complete picture of your external compliance obligations?","NO ANSWER",0,NA,"Don't know","0.875","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Compliance Management","Do you have a standard set of security requirements and verification procedures addressing the organization's external compliance obligations?","NO ANSWER",0,NA,"Don't know","0.875","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Compliance Management","Do you regularly report on adherence to external compliance obligations and use that information to guide efforts to close compliance gaps?","NO ANSWER",0,NA,"Don't know","0.875","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Training and Awareness","Do you require employees involved with application development to take SDLC training?","Yes, some of them",0.25,0.625,"We do security boot camp and also train all staff every 12 months in secure coding","1.375","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Training and Awareness","Is training customized for individual roles such as developers, testers, or security champions?","Yes, for at least half of the training",0.5,0.25,NA,"1.375","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Training and Awareness","Have you implemented a Learning Management System or equivalent to track employee training and certification processes?","Yes, for most or all of the training",1,0.5,"We track the completion and coverage of mentioned trainings","1.375","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Organization and Culture","Have you identified a Security Champion for each development team?","Yes, for most or all of the teams",1,NA,"We have a security master in each dev team who  participates in boot camp","1.375","easy","unconfident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Organization and Culture","Does the organization have a Secure Software Center of Excellence (SSCE)?","NO ANSWER",0,NA,"Don't know","1.375","easy","unconfident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Organization and Culture","Is there a centralized portal where developers and application security professionals from different teams and business units are able to communicate and share information?","NO ANSWER",0,NA,"Don't know","1.375","easy","unconfident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Application Risk Profile","Do you classify applications according to business risk based on a simple and predefined set of questions?","Yes, most or all of them",1,0.5,"We perform analysis per feature","1","easy","unconfident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Application Risk Profile","Do you use centralized and quantified application risk profiles to evaluate business risk?","NO ANSWER",0,0.5,"Don't know","1","easy","unconfident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Application Risk Profile","Do you regularly review and update the risk profiles for your applications?","NO ANSWER",0,0,"Don't know","1","easy","unconfident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Threat Modeling","Do you identify and manage architectural design flaws with threat modeling?","NO ANSWER",0,NA,"Don't know","1","easy","very unconfident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Threat Modeling","Do you use a standard methodology, aligned on your application risk levels?","Yes, for most or all of the applications",1,NA,NA,"1","easy","very unconfident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Threat Modeling","Do you regularly review and update the threat modeling methodology for your applications?","NO ANSWER",0,NA,"Don't know","1","easy","very unconfident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Software Requirements","Do project teams specify security requirements during development?","Yes, for most or all of the applications",1,1,NA,"2.5","difficult","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Software Requirements","Do you define, structure, and include prioritization in the artifacts of the security requirements gathering process?","Yes, most or all of the time",1,1,"We have a large number of generic security requirements","2.5","difficult","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Software Requirements","Do you use a standard requirements framework to streamline the elicitation of security requirements?","No",0,0.5,"No specifc consideration to fintech in the sec GPRs I believe","2.5","difficult","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Supplier Security","Do stakeholders review vendor collaborations for security requirements and methodology?","Yes, most or all of the time",1,NA,"Part of sourcing responsibility","2.5","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Supplier Security","Do vendors meet the security responsibilities and quality measures of service level agreements defined by the organization?","Yes, most or all of the time",1,NA,"Part of sourcing responsibility","2.5","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Supplier Security","Are vendors aligned with standard security controls and software development tools and processes that the organization utilizes?","Yes, most or all of the time",1,NA,"Part of sourcing responsibility","2.5","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Architecture Design","Do teams use security principles during design?","Yes, for most or all of the applications",1,1,"We perform analysis per feature","2.5","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Architecture Design","Do you use shared security services during design?","NO ANSWER",0,0.5,"don't know what security services are","2.5","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Architecture Design","Do you base your design on available reference architectures?","Yes, for most or all of the applications",1,1,"Security is covered in TEA.","2.5","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Technology Management","Do you evaluate the security quality of important technologies used for development?","Yes, for most or all of the applications",1,NA,NA,"2.5","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Technology Management","Do you have a list of recommended technologies for the organization?","Yes, for most or all of the technology domains",1,NA,"E.g. Which encryption algorithms to use","2.5","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Technology Management","Do you enforce the use of recommended technologies within the organization?","Yes, for most or all of the applications",1,NA,NA,"2.5","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Build Process","Is your full build process formally described?","No",0,0.5,NA,"2","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Build Process","Is the build process fully automated?","No",0,0.5,NA,"2","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Build Process","Do you enforce automated security checks in your build processes?","Yes, for most or all of the applications",1,1,NA,"2","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Software Dependencies","Do you have solid knowledge about dependencies you're relying on?","Yes, for most or all of the applications",1,NA,NA,"2","very easy","very confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Software Dependencies","Do you handle 3rd party dependency risk by a formal process?","Yes, for most or all of the applications",1,NA,NA,"2","very easy","very confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Software Dependencies","Do you prevent build of software if it's affected by vulnerabilities in dependencies?","Yes, for most or all of the applications",1,NA,NA,"2","very easy","very confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Deployment Process","Do you use repeatable deployment processes?","Yes, for most or all of the applications",1,1,NA,"1","easy","unconfident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Deployment Process","Are deployment processes automated and employing security checks?","NO ANSWER",0,0,"Don't know","1","easy","unconfident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Deployment Process","Do you consistently validate the integrity of deployed artifacts?","NO ANSWER",0,0,"Don't know","1","easy","unconfident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Secret Management","Do you limit access to application secrets according to the least privilege principle?","Yes, for most or all of the applications",1,NA,NA,"1","difficult","unconfident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Secret Management","Do you inject production secrets into configuration files during deployment?","NO ANSWER",0,NA,"Don't know","1","difficult","unconfident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Secret Management","Do you practice proper lifecycle management for application secrets?","NO ANSWER",0,NA,"Don't know","1","difficult","unconfident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Defect Tracking","Do you track all known security defects in accessible locations?","NO ANSWER",0,0,NA,"1","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Defect Tracking","Do you keep an overview of the state of security defects across the organization?","Yes, for most or all of the applications",1,0.5,"We gave a view of existing vulnerabilities and SLAs","1","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Defect Tracking","Do you enforce SLAs for fixing security defects?","Yes, for most or all of the applications",1,0.5,"We gave a view of existing vulnerabilities and SLAs","1","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Metrics and Feedback","Do you use basic metrics about recorded security defects to carry out quick win improvement activities?","NO ANSWER",0,NA,"Don't know","1","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Metrics and Feedback","Do you improve your security assurance program upon standardized metrics?","NO ANSWER",0,NA,"Don't know","1","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Metrics and Feedback","Do you regularly evaluate the effectiveness of your security metrics so that its input helps drive your security strategy?","NO ANSWER",0,NA,"Don't know","1","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Architecture Validation","Do you review the application architecture for key security objectives on an ad-hoc basis?","NO ANSWER",0,0,"Don't know","0","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Architecture Validation","Do you regularly review the security mechanisms of your architecture?","NO ANSWER",0,0,"Don't know","0","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Architecture Validation","Do you regularly review the effectiveness of the security controls?","NO ANSWER",0,0,"Don't know","0","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Architecture Mitigation","Do you review the application architecture for mitigations of typical threats on an ad-hoc basis?","NO ANSWER",0,NA,"Don't know","0","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Architecture Mitigation","Do you regularly evaluate the threats to your architecture?","NO ANSWER",0,NA,"Don't know","0","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Architecture Mitigation","Do you regularly update your reference architectures based on architecture assessment findings?","NO ANSWER",0,NA,"Don't know","0","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Control Verification","Do you test applications for the correct functioning of standard security controls?","Yes, most or all of them",1,0.5,"We do regular assessments using a supplier","0.625","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Control Verification","Do you consistently write and execute test scripts to verify the functionality of security requirements?","Yes, some of them",0.25,0.125,NA,"0.625","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Control Verification","Do you automatically test applications for security regressions?","No",0,0,"We have plans to introduce SoV","0.625","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Misuse/Abuse Testing","Do you test applications using randomization or fuzzing techniques?","NO ANSWER",0,NA,"Don't know","0.625","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Misuse/Abuse Testing","Do you create abuse cases from functional requirements and use them to drive security tests?","NO ANSWER",0,NA,"Don't know","0.625","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Misuse/Abuse Testing","Do you perform denial of service and security stress testing?","NO ANSWER",0,NA,"Don't know","0.625","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Scalable Baseline","Do you scan applications with automated security testing tools?","Yes, most or all of them",1,1,NA,"1.75","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Scalable Baseline","Do you customize the automated security tools to your applications and technology stacks?","NO ANSWER",0,0.5,"Don't know","1.75","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Scalable Baseline","Do you integrate automated security testing into the build and deploy process?","Yes, some of it",0.25,0.25,NA,"1.75","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Deep Understanding","Do you manually review the security quality of selected high-risk components?","Yes, for most or all of the components",1,NA,NA,"1.75","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Deep Understanding","Do you perform penetration testing for your applications at regular intervals?","Yes, for most or all of the applications",1,NA,NA,"1.75","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Deep Understanding","Do you use the results of security testing to improve the development lifecycle?","Yes, but we improve it ad-hoc",0.25,NA,NA,"1.75","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Incident Detection","Do you analyze log data for security incidents periodically?","NO ANSWER",0,0.5,"Don't know","1.5","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Incident Detection","Do you follow a documented process for incident detection?","NO ANSWER",0,0.5,"Don't know","1.5","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Incident Detection","Do you review and update the incident detection process regularly?","NO ANSWER",0,0.5,"Don't know","1.5","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Incident Response","Do you respond to detected incidents?","Yes, for most or all of the incidents",1,NA,NA,"1.5","easy","unconfident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Incident Response","Do you use a repeatable process for incident handling?","Yes, for most or all of the incident types",1,NA,NA,"1.5","easy","unconfident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Incident Response","Do you have a dedicated incident response team available?","Yes, most or all of the time",1,NA,NA,"1.5","easy","unconfident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Configuration Hardening","Do you harden configurations for key components of your technology stacks?","NO ANSWER",0,0.5,"Don't know","1.625","easy","unconfident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Configuration Hardening","Do you have hardening baselines for your components?","Yes, for some components",0.25,0.625,NA,"1.625","easy","unconfident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Configuration Hardening","Do you monitor and enforce conformity with hardening baselines?","NO ANSWER",0,0.5,"Don't know","1.625","easy","unconfident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Patching and Updating","Do you identify and patch vulnerable components?","Yes, for most or all of the components",1,NA,NA,"1.625","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Patching and Updating","Do you follow an established process for updating components of your technology stacks?","Yes, for most or all of the components",1,NA,"SUPs","1.625","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Patching and Updating","Do you regularly evaluate components and review patch level status?","Yes, for most or all of the components",1,NA,NA,"1.625","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Data Protection","Do you protect and handle information according to protection requirements for data stored and processed on each application?","Yes, for most or all of the applications",1,1,NA,"1.75","easy","unconfident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Data Protection","Do you maintain a data catalog, including types, sensitivity levels, and processing and storage locations?","NO ANSWER",0,0.25,"Don't know","1.75","easy","unconfident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"Data Protection","Do you regularly review and update the data catalog and your data protection policies and procedures?","NO ANSWER",0,0.5,"Don't know","1.75","easy","unconfident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"System Decomissioning / Legacy Management","Do you identify and remove systems, applications, application dependencies, or services that are no longer used, have reached end of life, or are no longer actively developed or supported?","Yes, for most or all of the applications",1,NA,NA,"1.75","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"System Decomissioning / Legacy Management","Do you follow an established process for removing all associated resources, as part of decommissioning of unused systems, applications, application dependencies, or services?","Yes, at least half of the time",0.5,NA,"We have a phase out process, which could be more  actively used","1.75","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"System Decomissioning / Legacy Management","Do you regularly evaluate the lifecycle state and support status of every software asset and underlying infrastructure component, and estimate their end of life?","Yes, for most or all of the assets",1,NA,NA,"1.75","easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
